time,vx,vy,vz,yaw
142.282000000,0.040033686558798895,-0.0347287283832772,-0.0013906276669157758,-0.003621817884530368
142.332000000,0.040246052502299456,-0.03481731367702501,-0.0013181121609102528,-0.003538021272655914
142.382000000,0.04046085940614008,-0.034910581337828026,-0.001246675578379741,-0.003452334632778658
142.432000000,0.04067828425926283,-0.035008303030099684,-0.0011764582848083432,-0.0033647702071891994
142.482000000,0.040898502376349066,-0.035110245044433795,-0.0011075978533398741,-0.0032753424394645282
142.532000000,0.04112168674724599,-0.03521616748454737,-0.001040228597263669,-0.003184067951362202
142.582000000,0.041348008197749704,-0.035325824473082336,-0.0009744813906152894,-0.0030909655880401892
142.632000000,0.04157763500520937,-0.0354389637968632,-0.0009104833762863466,-0.0029960564632867774
142.682000000,0.041810733049315735,-0.03555532702762451,-0.0008483575660731034,-0.0028993638268409337
142.732000000,0.04204746635006147,-0.03567465011285553,-0.0007882228315103915,-0.002800913079859985
142.782000000,0.04228799700404444,-0.035796663628904615,-0.0007301938058802803,-0.002700731825393453
142.832000000,0.04253248534079534,-0.03592109295315545,-0.0006743804943444493,-0.0025988498502885183
142.882000000,0.04278109022747999,-0.03604765868247941,-0.0006208882563091877,-0.0024952991331480107
142.932000000,0.04303396880417081,-0.036176076455072904,-0.0005698174410055962,-0.0023901138227280082
142.982000000,0.04329125232127628,-0.0363060418993917,-0.0005212523653112542,-0.0022833700061161673
143.032000000,0.04355309493587169,-0.0364372605843128,-0.0004752857068966604,-0.0021750921362483347
143.082000000,0.04381967313030057,-0.03656944978676519,-0.00043201282927562306,-0.002065280645701729
143.132000000,0.04409113234136595,-0.03670230426471795,-0.00039151032166322977,-0.0019539830814542967
143.182000000,0.044367615598899755,-0.03683551500479285,-0.0003538487165350738,-0.0018412482735565574
143.232000000,0.0446492629453714,-0.036968769337229174,-0.0003190923581726805,-0.0017271267261919695
143.282000000,0.04493621130198657,-0.03710175086426812,-0.0002872990563479162,-0.0016116707774628414
143.332000000,0.04522859493809626,-0.03723414059950166,-0.0002585200170056405,-0.0014949346863360148
143.382000000,0.04552649302275744,-0.037365607009613194,-0.00023278605497422576,-0.001376988238287141
143.432000000,0.045830044689854126,-0.037495831159233176,-0.00021013883872802964,-0.0012578848423810576
143.482000000,0.04613944058500373,-0.037624503168300696,-0.0001906238529846442,-0.0011376707796625176
143.532000000,0.04645479767526809,-0.03775129541441463,-0.0001742628894504173,-0.0010164100382761341
143.582000000,0.04677617431085385,-0.03787587626515706,-0.00016105969831497785,-0.000894180994282818
143.632000000,0.04710369294871704,-0.03799792093429368,-0.00015102467385156822,-0.0007710468299548727
143.682000000,0.04743753285562086,-0.03811710898899187,-0.0001441694106515364,-0.000647063723167371
143.732000000,0.04777779450103944,-0.03823311506057734,-0.0001404850393096483,-0.0005223040972146168
143.782000000,0.04812457366470105,-0.03834561453983104,-0.0001399480356110229,-0.00039684210401067806
143.832000000,0.048477962042373896,-0.0384542846529849,-0.00014253720401375558,-0.00027075358538842186
