time_sec,thruster_0_thrust_N,thruster_1_thrust_N,thruster_2_thrust_N,thruster_3_thrust_N,thruster_4_thrust_N,thruster_5_thrust_N,thruster_6_thrust_N,thruster_7_thrust_N
5.430000,3.132787,2.450700,-2.366504,-3.229105,-0.145321,-0.145319,-0.145319,-0.145319
5.480000,3.238617,2.555117,-2.470515,-3.335028,-0.148222,-0.148221,-0.148221,-0.148221
5.530000,3.337653,2.655716,-2.570949,-3.433862,-0.151100,-0.151098,-0.151098,-0.151098
5.580000,3.428936,2.751592,-2.666909,-3.524650,-0.153935,-0.153934,-0.153934,-0.153934
5.630000,3.511575,2.841873,-2.757521,-3.606510,-0.156711,-0.156711,-0.156711,-0.156711
5.680000,3.584771,2.925740,-2.841960,-3.678655,-0.159409,-0.159408,-0.159408,-0.159408
5.730000,3.647823,3.002433,-2.919456,-3.740400,-0.162008,-0.162007,-0.162007,-0.162007
5.780000,3.700145,3.071272,-2.989311,-3.791185,-0.164490,-0.164489,-0.164489,-0.164489
5.830000,3.741278,3.131666,-3.050915,-3.830576,-0.166835,-0.166835,-0.166835,-0.166835
5.880000,3.770897,3.183128,-3.103755,-3.858282,-0.169026,-0.169026,-0.169026,-0.169026
5.930000,3.788818,3.225279,-3.147423,-3.874153,-0.171045,-0.171034,-0.171034,-0.171034
5.980000,3.794999,3.257855,-3.181622,-3.878185,-0.172878,-0.172869,-0.172869,-0.172869
6.030000,3.789544,3.280712,-3.206175,-3.870518,-0.174510,-0.174503,-0.174503,-0.174503
6.080000,3.772693,3.293828,-3.221023,-3.851434,-0.175930,-0.175925,-0.175925,-0.175925
6.130000,3.744823,3.297297,-3.226228,-3.821346,-0.177130,-0.177126,-0.177126,-0.177126
6.180000,3.706431,3.291332,-3.221968,-3.780789,-0.178103,-0.178100,-0.178100,-0.178100
6.230000,3.658131,3.276251,-3.208531,-3.730407,-0.178847,-0.178845,-0.178845,-0.178845
6.280000,3.600631,3.252474,-3.186309,-3.670938,-0.179362,-0.179360,-0.179360,-0.179360
6.330000,3.534727,3.220511,-3.155788,-3.603202,-0.179650,-0.179648,-0.179648,-0.179648
6.380000,3.461281,3.180948,-3.117535,-3.528077,-0.179716,-0.179715,-0.179715,-0.179721
6.430000,3.381202,3.134435,-3.072188,-3.446486,-0.179570,-0.179569,-0.179569,-0.179574
6.480000,3.295434,3.081675,-3.020439,-3.359381,-0.179222,-0.179221,-0.179221,-0.179225
6.530000,3.204936,3.023408,-2.963026,-3.267720,-0.178684,-0.178683,-0.178683,-0.178686
6.580000,3.110665,2.960396,-2.900714,-3.172458,-0.177971,-0.177971,-0.177971,-0.177973
6.630000,3.013563,2.893414,-2.834281,-3.074527,-0.177100,-0.177100,-0.177100,-0.177102
6.680000,2.914538,2.823230,-2.764508,-2.974823,-0.176088,-0.176087,-0.176087,-0.176089
6.730000,2.814459,2.750603,-2.692165,-2.874201,-0.174952,-0.174951,-0.174951,-0.174952
6.780000,2.714141,2.676266,-2.618002,-2.773459,-0.173710,-0.173710,-0.173710,-0.173711
6.830000,2.614339,2.600918,-2.542734,-2.673332,-0.172381,-0.172381,-0.172381,-0.172382
6.880000,2.515740,2.525220,-2.467039,-2.574489,-0.170983,-0.170983,-0.170983,-0.170983
6.930000,2.418962,2.449786,-2.391549,-2.477529,-0.169532,-0.169532,-0.169532,-0.169533
6.980000,2.324550,2.375179,-2.316844,-2.382980,-0.168046,-0.168046,-0.168046,-0.168046
